name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"branch-misses","branches"
"BM_BinarySearchRandomTarget/131072",5322060,131.607,129.178,ns,,,,,,9.52858,47.4986
"BM_BinarySearchRandomTarget/262144",4718849,149.981,147.211,ns,,,,,,10.0419,49.9944
"BM_BinarySearchRandomTarget_BigO",,5.85495,5.74517,lgN,,,,,,,
"BM_BinarySearchRandomTarget_RMS",,2.22325e-10,2.22811e-10,,,,,,,,
"BM_BinarySearchPredictableTarget/8",194708328,3.30349,3.23538,ns,,,,,,8.2431e-06,13
"BM_BinarySearchPredictableTarget/40",121272833,5.01187,4.91076,ns,,,,,,1.46859e-05,17
"BM_BinarySearchPredictableTarget/72",100000000,5.2559,5.14573,ns,,,,,,1.328e-05,19
"BM_BinarySearchPredictableTarget/104",120679549,5.30382,5.19994,ns,,,,,,1.36643e-05,19
"BM_BinarySearchPredictableTarget/136",135165667,5.39292,5.2932,ns,,,,,,1.96204e-05,21
"BM_BinarySearchPredictableTarget/168",131326393,5.58283,5.47839,ns,,,,,,1.65085e-05,21
"BM_BinarySearchPredictableTarget/200",132087838,5.51365,5.40031,ns,,,,,,1.62468e-05,21
"BM_BinarySearchPredictableTarget/232",130407124,5.57599,5.46272,ns,,,,,,1.73303e-05,21
"BM_BinarySearchPredictableTarget/256",123505580,5.72116,5.60431,ns,,,,,,2.39099e-05,23
"BM_BinarySearchPredictableTarget/384",116729508,5.96875,5.85818,ns,,,,,,1.88813e-05,23
"BM_BinarySearchPredictableTarget/512",118470210,6.03136,5.91364,ns,,,,,,2.24782e-05,25
"BM_BinarySearchPredictableTarget/640",121073594,6.13383,6.00799,ns,,,,,,2.26639e-05,25
"BM_BinarySearchPredictableTarget/768",116356505,6.2325,6.10475,ns,,,,,,1.46618e-05,25
"BM_BinarySearchPredictableTarget/896",119238470,6.11502,5.98943,ns,,,,,,2.42371e-05,25
"BM_BinarySearchPredictableTarget/1024",113720670,6.30151,6.17886,ns,,,,,,2.52109e-05,27
"BM_BinarySearchPredictableTarget/1152",113306093,6.37548,6.25888,ns,,,,,,2.32203e-05,27
"BM_BinarySearchPredictableTarget/1280",110323077,6.45154,6.32112,ns,,,,,,1.94157e-05,27
"BM_BinarySearchPredictableTarget/1408",114001511,6.29474,6.18341,ns,,,,,,2.73768e-05,27
"BM_BinarySearchPredictableTarget/1536",115208866,6.55687,6.42429,ns,,,,,,2.01026e-05,27
"BM_BinarySearchPredictableTarget/1664",114509480,6.2475,6.1248,ns,,,,,,1.62519e-05,27
"BM_BinarySearchPredictableTarget/1792",114610037,6.43516,6.30485,ns,,,,,,1.7721e-05,27
"BM_BinarySearchPredictableTarget/1920",112165129,6.368,6.23943,ns,,,,,,2.13168e-05,27
"BM_BinarySearchPredictableTarget/2048",109328867,6.86566,6.72431,ns,,,,,,2.04612e-05,29
"BM_BinarySearchPredictableTarget/2048",108466157,6.57481,6.45564,ns,,,,,,2.46068e-05,29
"BM_BinarySearchPredictableTarget/4096",103910976,6.8279,6.6918,ns,,,,,,2.39436e-05,31
"BM_BinarySearchPredictableTarget/8192",93501790,7.50952,7.36707,ns,,,,,,3.23416e-05,33
"BM_BinarySearchPredictableTarget/16384",92495120,7.74525,7.59383,ns,,,,,,2.41634e-05,35
"BM_BinarySearchPredictableTarget/32768",87928162,8.25916,8.08937,ns,,,,,,4.1079e-05,37
"BM_BinarySearchPredictableTarget/65536",81419279,8.54642,8.37311,ns,,,,,,3.47092e-05,39
"BM_BinarySearchPredictableTarget/131072",74141739,9.67547,9.48413,ns,,,,,,4.59795e-05,41
"BM_BinarySearchPredictableTarget/262144",58052958,11.7533,11.5199,ns,,,,,,4.08937e-05,43
"BM_BinarySearchPredictableTarget_BigO",,0.618745,0.606512,lgN,,,,,,,
"BM_BinarySearchPredictableTarget_RMS",,1.20166e-10,1.20146e-10,,,,,,,,
