name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"branch-misses","branches"
"BM_StdLowerBound/4096",17504163,39.9885,39.9803,ns,,,,,,6.58938,31.4887
"BM_StdLowerBound/8192",15440667,45.299,45.2919,ns,,,,,,7.26217,34.0219
"BM_StdLowerBound/16384",13157269,53.0827,53.0731,ns,,,,,,7.90981,36.5144
"BM_StdLowerBound/32768",11688211,60.2003,60.1899,ns,,,,,,8.48304,39.002
"BM_StdLowerBound/65536",10426810,66.8266,66.8169,ns,,,,,,8.99382,41.5051
"BM_StdLowerBound/131072",9352065,75.0089,74.9949,ns,,,,,,9.5224,43.9834
"BM_StdLowerBound/262144",7768870,90.0557,90.0401,ns,,,,,,10.0265,46.5042
"BM_StdLowerBound_BigO",,3.54775,3.54712,lgN,,,,,,,
"BM_StdLowerBound_RMS",,2.10788e-10,2.10799e-10,,,,,,,,
"BM_LinearSearch/8",113773281,5.24498,5.24408,ns,,,,,,0.653783,13.668
"BM_LinearSearch/40",69954961,9.7757,9.77396,ns,,,,,,1.0107,41.0499
"BM_LinearSearch/72",52735796,13.027,13.024,ns,,,,,,1.00076,78.1974
"BM_LinearSearch/104",42626617,16.1756,16.1716,ns,,,,,,1.02129,109.301
"BM_LinearSearch/136",35936410,20.8319,20.8056,ns,,,,,,1.02712,150.753
"BM_LinearSearch/168",30649786,23.4265,23.3919,ns,,,,,,1.02317,183.916
"BM_LinearSearch/200",24879704,27.2056,27.1462,ns,,,,,,1.01916,205.767
"BM_LinearSearch/232",22622143,30.4392,30.3637,ns,,,,,,1.03122,237.65
"BM_LinearSearch/256",21031920,34.4074,34.3946,ns,,,,,,1.01338,265.351
"BM_LinearSearch/384",16648952,43.5502,43.5405,ns,,,,,,1.01705,384.065
"BM_LinearSearch/512",11240678,58.417,58.4043,ns,,,,,,1.01402,496.355
"BM_LinearSearch/640",9689399,72.0139,71.9219,ns,,,,,,1.01507,648.842
"BM_LinearSearch/768",8511676,73.907,73.8162,ns,,,,,,1.01276,749.309
"BM_LinearSearch/896",7190442,97.1847,97.0546,ns,,,,,,1.00798,918.875
"BM_LinearSearch/1024",6639574,112.94,112.903,ns,,,,,,1.00555,1032.34
"BM_LinearSearch/1152",6451382,112.213,112.19,ns,,,,,,1.00619,1171.77
"BM_LinearSearch/1280",5496156,131.389,131.362,ns,,,,,,1.00444,1288.69
"BM_LinearSearch/1408",5045221,140.323,140.29,ns,,,,,,1.00565,1443.2
"BM_LinearSearch/1536",4878600,144.513,144.484,ns,,,,,,1.00682,1548.02
"BM_LinearSearch/1664",4207538,164.926,164.9,ns,,,,,,1.00311,1661.25
"BM_LinearSearch/1792",4006393,176.224,176.199,ns,,,,,,1.00324,1788.11
"BM_LinearSearch/1920",3901210,182.28,182.247,ns,,,,,,1.00444,1956.3
"BM_LinearSearch/2048",3504265,200.784,200.717,ns,,,,,,1.00857,2048.76
"BM_LinearSearch/2048",3373470,199.849,199.664,ns,,,,,,1.00739,2044.3
"BM_LinearSearch/4096",1833685,375.903,375.833,ns,,,,,,1.00421,4122.9
"BM_LinearSearch/8192",934740,746.569,746.446,ns,,,,,,1.00451,8144.55
"BM_LinearSearch/16384",475627,1471.67,1471.41,ns,,,,,,1.00722,16418.6
"BM_LinearSearch/32768",238772,2907.89,2907.4,ns,,,,,,1.00992,32498.3
"BM_LinearSearch/65536",119828,5853.86,5852.69,ns,,,,,,1.01561,65624.6
"BM_LinearSearch/131072",60039,11714.4,11684.7,ns,,,,,,1.03778,130791
"BM_LinearSearch/262144",30048,23354,23347.3,ns,,,,,,1.05827,261386
"BM_LinearSearch_BigO",,0.0891561,0.0890935,N,,,,,,,
"BM_LinearSearch_RMS",,8.72073e-12,7.98778e-12,,,,,,,,
"BM_BinarySearchRandomTarget/8",118633863,6.93529,6.93105,ns,,,,,,0.882417,13.4083
"BM_BinarySearchRandomTarget/40",49007076,13.8846,13.8815,ns,,,,,,1.97682,18.6111
"BM_BinarySearchRandomTarget/72",39949925,16.401,16.3975,ns,,,,,,2.50963,20.4539
"BM_BinarySearchRandomTarget/104",41160448,17.811,17.8072,ns,,,,,,2.73767,21.7488
"BM_BinarySearchRandomTarget/136",35873679,18.6615,18.6582,ns,,,,,,2.92808,22.5102
"BM_BinarySearchRandomTarget/168",36235192,20.4796,20.4756,ns,,,,,,3.28233,23.4128
"BM_BinarySearchRandomTarget/200",35383822,20.7914,20.7871,ns,,,,,,3.25755,24.0545
"BM_BinarySearchRandomTarget/232",31609162,21.6226,21.6148,ns,,,,,,3.41386,24.604
"BM_BinarySearchRandomTarget/256",32140082,22.6622,22.6568,ns,,,,,,3.59331,24.897
"BM_BinarySearchRandomTarget/384",27427207,24.2174,24.2092,ns,,,,,,3.90708,26.5179
"BM_BinarySearchRandomTarget/512",26578219,26.9312,26.9249,ns,,,,,,4.48838,27.4749
"BM_BinarySearchRandomTarget/640",25406404,28.187,28.1804,ns,,,,,,4.48508,28.278
"BM_BinarySearchRandomTarget/768",24957524,27.5836,27.5783,ns,,,,,,4.44928,28.9791
"BM_BinarySearchRandomTarget/896",23503277,29.6608,29.6561,ns,,,,,,4.89659,29.4707
"BM_BinarySearchRandomTarget/1024",22512485,30.5091,30.5041,ns,,,,,,5.05597,30.0779
"BM_BinarySearchRandomTarget/1152",22423145,31.1393,31.1343,ns,,,,,,5.19101,30.305
"BM_BinarySearchRandomTarget/1280",21517883,31.7379,31.7315,ns,,,,,,5.43243,30.8177
"BM_BinarySearchRandomTarget/1408",21929763,32.4652,32.4578,ns,,,,,,5.46712,31.1219
"BM_BinarySearchRandomTarget/1536",21279222,33.6683,33.6632,ns,,,,,,5.77452,31.5768
"BM_BinarySearchRandomTarget/1664",21221468,33.1305,33.1249,ns,,,,,,5.5537,31.7623
"BM_BinarySearchRandomTarget/1792",21069221,34.3553,34.3494,ns,,,,,,5.9372,31.9731
"BM_BinarySearchRandomTarget/1920",20495118,34.1636,34.1575,ns,,,,,,5.74508,32.2821
"BM_BinarySearchRandomTarget/2048",19746415,34.197,34.1908,ns,,,,,,5.76439,32.4705
"BM_BinarySearchRandomTarget/2048",19786724,34.7521,34.7463,ns,,,,,,5.70772,32.5342
"BM_BinarySearchRandomTarget/4096",18563502,37.9013,37.8941,ns,,,,,,6.57333,35.0507
"BM_BinarySearchRandomTarget/8192",16115639,43.9239,43.916,ns,,,,,,7.09592,37.5205
"BM_BinarySearchRandomTarget/16384",13466577,51.6497,51.6404,ns,,,,,,7.85305,40.0008
"BM_BinarySearchRandomTarget/32768",12086748,58.1381,58.1281,ns,,,,,,8.4129,42.5
"BM_BinarySearchRandomTarget/65536",10599912,65.8788,65.8679,ns,,,,,,8.95971,44.9991
"BM_BinarySearchRandomTarget/131072",9583088,72.9553,72.9451,ns,,,,,,9.51266,47.5022
"BM_BinarySearchRandomTarget/262144",7936627,88.2386,88.2267,ns,,,,,,10.045,49.9992
"BM_BinarySearchRandomTarget_BigO",,3.47288,3.47226,lgN,,,,,,,
"BM_BinarySearchRandomTarget_RMS",,2.08456e-10,2.08491e-10,,,,,,,,
"BM_BranchlessBinarySearchRandomTarget/8",382212334,1.78483,1.78457,ns,,,,,,0.000196739,8
"BM_BranchlessBinarySearchRandomTarget/40",193678411,3.61554,3.6149,ns,,,,,,0.000412927,11
"BM_BranchlessBinarySearchRandomTarget/72",168711997,4.15082,4.14994,ns,,,,,,0.000404352,12
"BM_BranchlessBinarySearchRandomTarget/104",168540888,4.15214,4.15142,ns,,,,,,0.000454103,12
"BM_BranchlessBinarySearchRandomTarget/136",143857680,4.86292,4.86229,ns,,,,,,0.000138769,13
"BM_BranchlessBinarySearchRandomTarget/168",145950695,4.78732,4.78627,ns,,,,,,4.06713e-05,13
"BM_BranchlessBinarySearchRandomTarget/200",146399115,4.78551,4.78444,ns,,,,,,2.58062e-05,13
"BM_BranchlessBinarySearchRandomTarget/232",146376287,4.78334,4.78258,ns,,,,,,2.67803e-05,13
"BM_BranchlessBinarySearchRandomTarget/256",146280212,4.78453,4.78379,ns,,,,,,2.81583e-05,13
"BM_BranchlessBinarySearchRandomTarget/384",129603884,5.39821,5.39737,ns,,,,,,0.000393337,14
"BM_BranchlessBinarySearchRandomTarget/512",129562787,5.39867,5.39779,ns,,,,,,0.000456342,14
"BM_BranchlessBinarySearchRandomTarget/640",111066607,6.30392,6.30281,ns,,,,,,0.000457671,15
"BM_BranchlessBinarySearchRandomTarget/768",111012590,6.31329,6.31223,ns,,,,,,0.000375255,15
"BM_BranchlessBinarySearchRandomTarget/896",108099086,6.30515,6.30424,ns,,,,,,0.000446757,15
"BM_BranchlessBinarySearchRandomTarget/1024",111001831,6.30647,6.30547,ns,,,,,,0.000443686,15
"BM_BranchlessBinarySearchRandomTarget/1152",100480855,6.95808,6.9569,ns,,,,,,0.00042419,16
"BM_BranchlessBinarySearchRandomTarget/1280",100532833,6.96525,6.96417,ns,,,,,,0.000541843,16
"BM_BranchlessBinarySearchRandomTarget/1408",100645920,6.95731,6.95607,ns,,,,,,0.000454137,16
"BM_BranchlessBinarySearchRandomTarget/1536",100542207,6.96183,6.96065,ns,,,,,,0.000476775,16
"BM_BranchlessBinarySearchRandomTarget/1664",100628872,7.01321,7.0121,ns,,,,,,0.000386509,16
"BM_BranchlessBinarySearchRandomTarget/1792",100543336,6.96452,6.96339,ns,,,,,,0.000568422,16
"BM_BranchlessBinarySearchRandomTarget/1920",99152848,6.95655,6.95548,ns,,,,,,0.000438273,16
"BM_BranchlessBinarySearchRandomTarget/2048",100331674,6.96003,6.95886,ns,,,,,,0.000425927,16
"BM_BranchlessBinarySearchRandomTarget/2048",100521132,6.9698,6.96791,ns,,,,,,0.000431044,16
"BM_BranchlessBinarySearchRandomTarget/4096",91625117,7.64888,7.64743,ns,,,,,,5.0401e-05,17
"BM_BranchlessBinarySearchRandomTarget/8192",70651790,9.9026,9.90115,ns,,,,,,6.25462e-05,18
"BM_BranchlessBinarySearchRandomTarget/16384",53455690,13.1012,13.0991,ns,,,,,,8.86529e-05,19
"BM_BranchlessBinarySearchRandomTarget/32768",44144430,15.849,15.8466,ns,,,,,,9.83363e-05,20
"BM_BranchlessBinarySearchRandomTarget/65536",36182843,19.3554,19.3524,ns,,,,,,0.000125225,21
"BM_BranchlessBinarySearchRandomTarget/131072",28724472,24.4346,24.4307,ns,,,,,,0.000442201,22
"BM_BranchlessBinarySearchRandomTarget/262144",20587794,34.0459,34.0404,ns,,,,,,0.000807177,23.0001
"BM_BranchlessBinarySearchRandomTarget_BigO",,0.910781,0.910632,lgN,,,,,,,
"BM_BranchlessBinarySearchRandomTarget_RMS",,5.10939e-10,5.10947e-10,,,,,,,,
"BM_BinarySearchPredictableTarget/8",488748510,1.31449,1.31428,ns,,,,,,0.000262303,13
"BM_BinarySearchPredictableTarget/40",466296424,1.52419,1.52396,ns,,,,,,0.000203731,17
"BM_BinarySearchPredictableTarget/72",390533129,1.76991,1.76962,ns,,,,,,0.000187198,19
"BM_BinarySearchPredictableTarget/104",390278982,1.709,1.70861,ns,,,,,,0.000214224,19
"BM_BinarySearchPredictableTarget/136",365639611,1.91385,1.91357,ns,,,,,,0.000223909,21
"BM_BinarySearchPredictableTarget/168",365661523,1.91245,1.91217,ns,,,,,,0.000181176,21
"BM_BinarySearchPredictableTarget/200",365727747,1.90803,1.90769,ns,,,,,,0.000184725,21
"BM_BinarySearchPredictableTarget/232",354748342,1.93986,1.93959,ns,,,,,,0.000123397,21
"BM_BinarySearchPredictableTarget/256",333473016,2.09912,2.09882,ns,,,,,,0.000431711,23
"BM_BinarySearchPredictableTarget/384",330645958,2.1018,2.10146,ns,,,,,,0.00029172,23
"BM_BinarySearchPredictableTarget/512",306509731,2.30319,2.30271,ns,,,,,,8.75013e-05,25
"BM_BinarySearchPredictableTarget/640",306453025,2.30225,2.3017,ns,,,,,,0.000120397,25
"BM_BinarySearchPredictableTarget/768",305772802,2.29419,2.29379,ns,,,,,,0.000217593,25
"BM_BinarySearchPredictableTarget/896",296194410,2.29017,2.28975,ns,,,,,,0.00011931,25
"BM_BinarySearchPredictableTarget/1024",270465559,2.60633,2.60585,ns,,,,,,0.000343105,27
"BM_BinarySearchPredictableTarget/1152",272350475,2.65085,2.65037,ns,,,,,,0.000275935,27
"BM_BinarySearchPredictableTarget/1280",270745878,2.59027,2.58956,ns,,,,,,0.000329859,27
"BM_BinarySearchPredictableTarget/1408",272407720,2.62459,2.62418,ns,,,,,,0.000393407,27
"BM_BinarySearchPredictableTarget/1536",266036500,2.61273,2.6123,ns,,,,,,0.000363476,27
"BM_BinarySearchPredictableTarget/1664",270916672,2.59442,2.59354,ns,,,,,,0.000351809,27
"BM_BinarySearchPredictableTarget/1792",270846391,2.6081,2.60761,ns,,,,,,0.000330438,27
"BM_BinarySearchPredictableTarget/1920",269160647,2.60121,2.60081,ns,,,,,,0.000454186,27
"BM_BinarySearchPredictableTarget/2048",250044705,2.8004,2.79997,ns,,,,,,7.50546e-05,29
"BM_BinarySearchPredictableTarget/2048",250121596,2.83752,2.837,ns,,,,,,6.80309e-05,29
"BM_BinarySearchPredictableTarget/4096",230924824,3.03645,3.03592,ns,,,,,,0.000136763,31
"BM_BinarySearchPredictableTarget/8192",209042445,3.34738,3.34675,ns,,,,,,2.01299e-05,33
"BM_BinarySearchPredictableTarget/16384",193679861,3.59919,3.59863,ns,,,,,,2.00279e-05,35
"BM_BinarySearchPredictableTarget/32768",185486661,3.81117,3.81041,ns,,,,,,5.40794e-05,37
"BM_BinarySearchPredictableTarget/65536",170372387,4.12027,4.11972,ns,,,,,,0.000381558,39
"BM_BinarySearchPredictableTarget/131072",163496476,4.28544,4.28461,ns,,,,,,0.000384014,41
"BM_BinarySearchPredictableTarget/262144",151092761,4.63524,4.63459,ns,,,,,,1.74529e-05,43
"BM_BinarySearchPredictableTarget_BigO",,0.253629,0.253584,lgN,,,,,,,
"BM_BinarySearchPredictableTarget_RMS",,5.17394e-11,5.17502e-11,,,,,,,,
"BM_BranchlessBinarySearchPredictableTarget/8",391978492,1.78313,1.78287,ns,,,,,,0.00025656,8
"BM_BranchlessBinarySearchPredictableTarget/40",191740276,3.61646,3.61592,ns,,,,,,0.000520016,11
"BM_BranchlessBinarySearchPredictableTarget/72",167830871,4.15239,4.15173,ns,,,,,,0.000430844,12
"BM_BranchlessBinarySearchPredictableTarget/104",168672741,4.1482,4.14766,ns,,,,,,0.000425552,12
"BM_BranchlessBinarySearchPredictableTarget/136",146332984,4.78039,4.77971,ns,,,,,,2.54351e-05,13
"BM_BranchlessBinarySearchPredictableTarget/168",144137643,4.77918,4.77848,ns,,,,,,1.98075e-05,13
"BM_BranchlessBinarySearchPredictableTarget/200",145608699,4.78384,4.78288,ns,,,,,,2.49779e-05,13
"BM_BranchlessBinarySearchPredictableTarget/232",146583174,4.80116,4.79988,ns,,,,,,4.08096e-05,13
"BM_BranchlessBinarySearchPredictableTarget/256",146221629,4.78121,4.78046,ns,,,,,,2.68428e-05,13
"BM_BranchlessBinarySearchPredictableTarget/384",129676239,5.40107,5.40017,ns,,,,,,0.000440836,14
"BM_BranchlessBinarySearchPredictableTarget/512",129716251,5.40023,5.39919,ns,,,,,,0.000441047,14
"BM_BranchlessBinarySearchPredictableTarget/640",108674834,6.30515,6.30407,ns,,,,,,0.000440875,15
"BM_BranchlessBinarySearchPredictableTarget/768",110988729,6.33726,6.31843,ns,,,,,,0.000480085,15
"BM_BranchlessBinarySearchPredictableTarget/896",111020191,6.30956,6.30836,ns,,,,,,0.00046678,15
"BM_BranchlessBinarySearchPredictableTarget/1024",111000966,6.31454,6.31353,ns,,,,,,0.00048341,15
"BM_BranchlessBinarySearchPredictableTarget/1152",100170811,6.97797,6.97653,ns,,,,,,0.000345799,16
"BM_BranchlessBinarySearchPredictableTarget/1280",100399998,6.98335,6.98246,ns,,,,,,0.000345857,16
"BM_BranchlessBinarySearchPredictableTarget/1408",100117829,6.99788,6.99654,ns,,,,,,0.000461207,16
"BM_BranchlessBinarySearchPredictableTarget/1536",99670028,6.98689,6.98554,ns,,,,,,0.000577405,16
"BM_BranchlessBinarySearchPredictableTarget/1664",100252047,6.99381,6.9923,ns,,,,,,0.000401558,16
"BM_BranchlessBinarySearchPredictableTarget/1792",99775211,6.97901,6.97801,ns,,,,,,0.000431189,16
"BM_BranchlessBinarySearchPredictableTarget/1920",99737849,6.98331,6.98233,ns,,,,,,0.000473221,16
"BM_BranchlessBinarySearchPredictableTarget/2048",100313449,6.98883,6.9873,ns,,,,,,0.000357908,16
"BM_BranchlessBinarySearchPredictableTarget/2048",100293522,6.97795,6.97685,ns,,,,,,0.000477608,16
"BM_BranchlessBinarySearchPredictableTarget/4096",90883459,7.71783,7.71621,ns,,,,,,0.000436515,17
"BM_BranchlessBinarySearchPredictableTarget/8192",80263538,8.72445,8.72332,ns,,,,,,5.52804e-05,18
"BM_BranchlessBinarySearchPredictableTarget/16384",73659076,9.49819,9.49701,ns,,,,,,9.15434e-05,19
"BM_BranchlessBinarySearchPredictableTarget/32768",68079359,10.2925,10.2908,ns,,,,,,8.95719e-05,20
"BM_BranchlessBinarySearchPredictableTarget/65536",60427552,11.5793,11.5774,ns,,,,,,0.000121501,21
"BM_BranchlessBinarySearchPredictableTarget/131072",55482493,12.6033,12.6015,ns,,,,,,0.000118776,22
"BM_BranchlessBinarySearchPredictableTarget/262144",45611203,15.3532,15.351,ns,,,,,,7.84456e-05,23
"BM_BranchlessBinarySearchPredictableTarget_BigO",,0.683971,0.683812,lgN,,,,,,,
"BM_BranchlessBinarySearchPredictableTarget_RMS",,1.00523e-10,1.00571e-10,,,,,,,,
