name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"cycles","instructions"
"BM_LinearSearch/131072",59529,11724,11722.8,ns,,,,,,65795.2,328393
"BM_LinearSearch/262144",29863,23425.2,23422.8,ns,,,,,,131418,655547
"BM_LinearSearch_BigO",,0.0893928,0.0893838,N,,,,,,,
"BM_LinearSearch_RMS",,8.17505e-12,8.17863e-12,,,,,,,,
"BM_BinarySearchRandomTarget/8",97522465,7.94056,7.93954,ns,,,,,,44.5762,42.9072
"BM_BinarySearchRandomTarget/40",47157694,13.6424,13.6409,ns,,,,,,76.5977,60.2419
"BM_BinarySearchRandomTarget/72",41005110,16.4802,16.478,ns,,,,,,92.5245,67.4493
"BM_BinarySearchRandomTarget/104",40400448,17.6858,17.6841,ns,,,,,,99.288,70.4774
"BM_BinarySearchRandomTarget/136",35409342,19.7304,19.7281,ns,,,,,,110.759,73.1951
"BM_BinarySearchRandomTarget/168",33171608,20.8265,20.8245,ns,,,,,,116.921,76.0711
"BM_BinarySearchRandomTarget/200",32621152,21.0982,21.0965,ns,,,,,,118.468,77.3851
"BM_BinarySearchRandomTarget/232",32275802,21.4156,21.4143,ns,,,,,,120.243,78.9526
"BM_BinarySearchRandomTarget/256",31005458,22.3406,22.3384,ns,,,,,,125.427,80.1052
"BM_BinarySearchRandomTarget/384",29364510,23.816,23.814,ns,,,,,,133.691,84.9365
"BM_BinarySearchRandomTarget/512",26536357,26.5177,26.5149,ns,,,,,,148.855,87.5637
"BM_BinarySearchRandomTarget/640",25958453,27.4991,27.496,ns,,,,,,154.375,90.3459
"BM_BinarySearchRandomTarget/768",25143737,27.7493,27.7461,ns,,,,,,155.77,92.3883
"BM_BinarySearchRandomTarget/896",24021181,29.3029,29.3001,ns,,,,,,164.513,93.6805
"BM_BinarySearchRandomTarget/1024",23053085,29.9883,29.9843,ns,,,,,,168.331,95.0296
"BM_BinarySearchRandomTarget/1152",22908966,30.2272,30.2243,ns,,,,,,169.693,96.5817
"BM_BinarySearchRandomTarget/1280",22485821,30.8303,30.8271,ns,,,,,,173.08,98.0618
"BM_BinarySearchRandomTarget/1408",21923045,31.7071,31.7038,ns,,,,,,177.943,98.8716
"BM_BinarySearchRandomTarget/1536",21526131,32.2092,32.1942,ns,,,,,,180.669,99.9621
"BM_BinarySearchRandomTarget/1664",21600263,32.2796,32.2764,ns,,,,,,181.173,100.669
"BM_BinarySearchRandomTarget/1792",21353738,32.6992,32.6968,ns,,,,,,183.639,101.374
"BM_BinarySearchRandomTarget/1920",20931638,33.189,33.1855,ns,,,,,,186.357,101.935
"BM_BinarySearchRandomTarget/2048",20577574,33.9245,33.9196,ns,,,,,,190.427,102.506
"BM_BinarySearchRandomTarget/2048",20124353,33.9939,33.9903,ns,,,,,,190.84,102.604
"BM_BinarySearchRandomTarget/4096",18499471,37.8244,37.8215,ns,,,,,,212.322,110.01
"BM_BinarySearchRandomTarget/8192",16009461,43.7636,43.7597,ns,,,,,,245.646,117.529
"BM_BinarySearchRandomTarget/16384",13453940,52.0077,52.0027,ns,,,,,,292.009,124.995
"BM_BinarySearchRandomTarget/32768",11803804,59.3247,59.3189,ns,,,,,,333.077,132.501
"BM_BinarySearchRandomTarget/65536",10545763,66.3893,66.3846,ns,,,,,,372.655,140.009
"BM_BinarySearchRandomTarget/131072",9288030,75.3462,75.3382,ns,,,,,,422.806,147.501
"BM_BinarySearchRandomTarget/262144",7703906,90.7635,90.7568,ns,,,,,,509.365,155.003
"BM_BinarySearchRandomTarget_BigO",,3.47625,3.47588,lgN,,,,,,,
"BM_BinarySearchRandomTarget_RMS",,2.2936e-10,2.2938e-10,,,,,,,,
"BM_BranchlessBinarySearchRandomTarget/8",392751696,1.77976,1.77953,ns,,,,,,9.98558,54
"BM_BranchlessBinarySearchRandomTarget/40",194036654,3.60699,3.6067,ns,,,,,,20.2449,78
"BM_BranchlessBinarySearchRandomTarget/72",168974599,4.14289,4.14248,ns,,,,,,23.2652,86
"BM_BranchlessBinarySearchRandomTarget/104",169006111,4.14683,4.14626,ns,,,,,,23.2805,86
"BM_BranchlessBinarySearchRandomTarget/136",146639809,4.77614,4.77572,ns,,,,,,26.8187,94
"BM_BranchlessBinarySearchRandomTarget/168",146616601,4.77335,4.77294,ns,,,,,,26.8074,94
"BM_BranchlessBinarySearchRandomTarget/200",146657037,4.77436,4.7738,ns,,,,,,26.8113,94
"BM_BranchlessBinarySearchRandomTarget/232",146682308,4.77301,4.77251,ns,,,,,,26.8032,94
"BM_BranchlessBinarySearchRandomTarget/256",146628013,4.78386,4.78323,ns,,,,,,26.8262,94
"BM_BranchlessBinarySearchRandomTarget/384",129842966,5.38961,5.38912,ns,,,,,,30.2673,102
"BM_BranchlessBinarySearchRandomTarget/512",129837490,5.39074,5.39005,ns,,,,,,30.2714,102
"BM_BranchlessBinarySearchRandomTarget/640",111100795,6.30009,6.29953,ns,,,,,,35.378,110
"BM_BranchlessBinarySearchRandomTarget/768",111080726,6.30095,6.3003,ns,,,,,,35.383,110
"BM_BranchlessBinarySearchRandomTarget/896",111011278,6.30329,6.30274,ns,,,,,,35.3958,110
"BM_BranchlessBinarySearchRandomTarget/1024",111063988,6.29977,6.29929,ns,,,,,,35.3732,110
"BM_BranchlessBinarySearchRandomTarget/1152",100520012,6.95975,6.95886,ns,,,,,,39.0779,118
"BM_BranchlessBinarySearchRandomTarget/1280",100714174,6.95485,6.95426,ns,,,,,,39.0569,118
"BM_BranchlessBinarySearchRandomTarget/1408",100644234,6.95429,6.95365,ns,,,,,,39.049,118
"BM_BranchlessBinarySearchRandomTarget/1536",100601599,6.9579,6.95736,ns,,,,,,39.0716,118
"BM_BranchlessBinarySearchRandomTarget/1664",100697003,6.95604,6.95543,ns,,,,,,39.0627,118
"BM_BranchlessBinarySearchRandomTarget/1792",100565097,6.95838,6.95766,ns,,,,,,39.0701,118
"BM_BranchlessBinarySearchRandomTarget/1920",100678808,6.95509,6.95452,ns,,,,,,39.0504,118
"BM_BranchlessBinarySearchRandomTarget/2048",100601165,6.97202,6.96819,ns,,,,,,39.0961,118
"BM_BranchlessBinarySearchRandomTarget/2048",100627868,6.96044,6.95607,ns,,,,,,39.068,118
"BM_BranchlessBinarySearchRandomTarget/4096",91590931,7.64696,7.6419,ns,,,,,,42.9257,126
"BM_BranchlessBinarySearchRandomTarget/8192",70889302,9.88698,9.88052,ns,,,,,,55.5026,134
"BM_BranchlessBinarySearchRandomTarget/16384",53508745,13.0944,13.0857,ns,,,,,,73.5931,142
"BM_BranchlessBinarySearchRandomTarget/32768",44225242,15.8359,15.8255,ns,,,,,,89.0404,150
"BM_BranchlessBinarySearchRandomTarget/65536",36142524,19.3666,19.3647,ns,,,,,,108.975,158
"BM_BranchlessBinarySearchRandomTarget/131072",28285909,24.6324,24.6279,ns,,,,,,138.303,166
"BM_BranchlessBinarySearchRandomTarget/262144",21457418,32.6648,32.6611,ns,,,,,,183.732,174
"BM_BranchlessBinarySearchRandomTarget_BigO",,0.904027,0.903805,lgN,,,,,,,
"BM_BranchlessBinarySearchRandomTarget_RMS",,4.94574e-10,4.94635e-10,,,,,,,,
"BM_BinarySearchPredictableTarget/8",552358199,1.27152,1.27138,ns,,,,,,7.09474,48
"BM_BinarySearchPredictableTarget/40",460449218,1.52408,1.52395,ns,,,,,,8.51428,62
"BM_BinarySearchPredictableTarget/72",407894314,1.69731,1.69713,ns,,,,,,9.4863,69
"BM_BinarySearchPredictableTarget/104",411621820,1.69687,1.69672,ns,,,,,,9.48327,69
"BM_BinarySearchPredictableTarget/136",366114156,1.91272,1.91253,ns,,,,,,10.699,76
"BM_BinarySearchPredictableTarget/168",366356537,1.91196,1.91183,ns,,,,,,10.6921,76
"BM_BinarySearchPredictableTarget/200",366319944,1.91081,1.9106,ns,,,,,,10.6854,76
"BM_BinarySearchPredictableTarget/232",366067640,1.93226,1.93211,ns,,,,,,10.8093,76
"BM_BinarySearchPredictableTarget/256",333322745,2.11771,2.11749,ns,,,,,,11.855,83
"BM_BinarySearchPredictableTarget/384",333608635,2.09307,2.09278,ns,,,,,,11.7167,83
"BM_BinarySearchPredictableTarget/512",306537107,2.28915,2.2889,ns,,,,,,12.8278,90
"BM_BinarySearchPredictableTarget/640",306696841,2.28528,2.28509,ns,,,,,,12.8001,90
"BM_BinarySearchPredictableTarget/768",306012094,2.29268,2.29243,ns,,,,,,12.8442,90
"BM_BinarySearchPredictableTarget/896",306305601,2.2835,2.2833,ns,,,,,,12.7899,90
"BM_BinarySearchPredictableTarget/1024",270808984,2.5863,2.586,ns,,,,,,14.5021,97
"BM_BinarySearchPredictableTarget/1152",270722500,2.5873,2.58711,ns,,,,,,14.507,97
"BM_BinarySearchPredictableTarget/1280",270748883,2.57894,2.57867,ns,,,,,,14.4511,97
"BM_BinarySearchPredictableTarget/1408",270750802,2.58018,2.58,ns,,,,,,14.4629,97
"BM_BinarySearchPredictableTarget/1536",270935430,2.58586,2.58561,ns,,,,,,14.5006,97
"BM_BinarySearchPredictableTarget/1664",269514211,2.58549,2.58528,ns,,,,,,14.4971,97
"BM_BinarySearchPredictableTarget/1792",270772186,2.57709,2.5768,ns,,,,,,14.4429,97
"BM_BinarySearchPredictableTarget/1920",270753857,2.58567,2.58543,ns,,,,,,14.4951,97
"BM_BinarySearchPredictableTarget/2048",250600372,2.79362,2.79329,ns,,,,,,15.6742,104
"BM_BinarySearchPredictableTarget/2048",250551808,2.85762,2.85734,ns,,,,,,16.0334,104
"BM_BinarySearchPredictableTarget/4096",226819256,3.03088,3.03053,ns,,,,,,17.0023,111
"BM_BinarySearchPredictableTarget/8192",210134838,3.3371,3.33678,ns,,,,,,18.7259,118
"BM_BinarySearchPredictableTarget/16384",193288730,3.61127,3.61083,ns,,,,,,20.2632,125
"BM_BinarySearchPredictableTarget/32768",186116333,3.76498,3.76464,ns,,,,,,21.1292,132
"BM_BinarySearchPredictableTarget/65536",170429472,4.10681,4.10646,ns,,,,,,23.0516,139
"BM_BinarySearchPredictableTarget/131072",163532671,4.28113,4.28067,ns,,,,,,24.0226,146
"BM_BinarySearchPredictableTarget/262144",154820913,4.52372,4.52341,ns,,,,,,25.3893,153
"BM_BinarySearchPredictableTarget_BigO",,0.251894,0.25187,lgN,,,,,,,
"BM_BinarySearchPredictableTarget_RMS",,4.96196e-11,4.96185e-11,,,,,,,,
